years_owned,property_value,square_feet,bedrooms,bathrooms,property_age,neighborhood,distance_to_t,school_rating,property_tax,has_liens,lien_amount,mortgage_rate,income_to_mortgage_ratio,market_inventory_months,avg_days_on_market,last_transaction_date,sale_probability
4,803310,815,2,1.5,42,Roslindale,0.77,8.3,5273,0,0,4.41,2.91,3.4,15,2021-04-09,0.29
22,349396,1741,4,1.5,91,Beacon Hill,1.58,6.5,4281,0,0,2.79,3.53,4.5,42,2003-04-14,0.08
10,864059,746,2,1.5,15,Brighton,0.04,7.0,1000,1,959,3.42,3.16,3.7,18,2015-04-11,0.18
7,933175,2332,2,1.5,232,Brighton,0.11,7.2,7283,0,0,4.79,4.48,3.5,74,2018-04-10,0.44
2,917937,1857,2,2.0,92,Dorchester,0.88,4.4,2884,1,15952,2.57,3.67,3.3,42,2023-04-09,0.01
2,1074234,779,2,2.0,93,North End,0.4,8.1,6093,0,0,3.57,7.2,5.0,48,2023-04-09,0.23
1,1000176,1583,2,2.0,58,East Boston,0.36,7.2,6541,0,0,4.46,4.01,4.8,52,2024-04-08,0.25
15,887754,1273,3,2.0,66,North End,0.1,5.4,5668,0,0,2.68,1.42,3.3,24,2010-04-12,0.01
7,728950,2023,3,1.0,92,South Boston,0.49,9.7,5939,0,0,6.64,3.24,1.2,73,2018-04-10,0.53
9,251711,2738,1,1.0,117,East Boston,0.09,6.5,7692,0,0,2.0,3.35,3.6,44,2016-04-10,0.08
1,878885,487,2,1.5,101,South End,0.45,6.6,3415,0,0,4.17,2.76,2.4,13,2024-04-08,0.18
25,812306,1880,4,2.0,61,Mattapan,1.01,8.0,5329,0,0,6.41,3.59,2.8,64,2000-04-14,0.01
13,831473,1687,2,1.5,48,South End,0.21,9.8,4549,0,0,2.51,2.73,3.3,34,2012-04-11,0.01
2,366975,2269,2,1.5,46,Allston,0.46,8.0,1320,0,0,4.34,3.9,1.9,25,2023-04-09,0.18
2,425683,1949,4,2.0,150,Hyde Park,3.38,8.2,5572,0,0,4.7,1.21,1.1,15,2023-04-09,0.35
2,1065945,1273,2,3.0,140,Back Bay,0.81,5.5,7502,1,17587,3.29,4.87,3.9,29,2023-04-09,0.08
3,738133,1576,1,1.0,111,North End,1.29,7.1,7752,0,0,4.38,1.61,3.5,28,2022-04-09,0.46
6,954450,1242,3,2.0,149,Fenway,0.38,6.2,8714,0,0,5.34,3.18,3.5,69,2019-04-10,0.54
4,758495,2553,2,2.5,79,Roslindale,1.02,8.1,1452,0,0,3.8,2.62,4.3,26,2021-04-09,0.41
3,758926,1814,3,2.5,134,West Roxbury,0.03,8.2,8257,1,11366,5.65,3.87,2.5,17,2022-04-09,0.18
7,1031485,3130,4,3.5,114,Roxbury,0.09,9.4,5369,1,6828,5.09,3.28,4.0,48,2018-04-10,0.19
2,595186,1757,2,1.0,136,North End,0.16,3.8,8201,0,0,3.63,3.8,5.5,71,2023-04-09,0.01
3,778836,1304,3,1.5,43,Charlestown,0.36,6.1,4210,1,14968,6.19,4.83,3.1,30,2022-04-09,0.01
4,611317,740,3,3.0,14,North End,1.31,9.0,3938,0,0,3.39,4.42,6.3,99,2021-04-09,0.39
5,619651,537,2,2.0,98,South Boston,0.3,4.9,2569,1,8048,5.78,3.54,3.6,64,2020-04-09,0.26
